type;operations_id;contract_id;car_id;date;amount;descriptions
debit;CD002;;CAR_08;01.01.2025;-4840.0;
fact;CF001;;CAR_08;03.01.2025;9680.0;
payment;CP005;;CAR_08;03.01.2025;4840.0;
fact;CF002;;CAR_02;03.01.2025;23100.0;
payment;CP006;;CAR_02;03.01.2025;23100.0;
fact;CF003;;CAR_03;03.01.2025;21120.0;
debit;CD006;;CAR_01;05.02.2025;-17600.0;
fact;CF006;;CAR_01;05.02.2025;17600.0;
fact;CF007;;CAR_08;05.02.2025;4840.0;
payment;CP011;;CAR_08;05.02.2025;4840.0;
fact;CF008;;CAR_03;05.02.2025;40040.0;
payment;CP012;;CAR_03;05.02.2025;40040.0;
fact;CF009;;CAR_09;05.02.2025;30800.0;
debit;CD009;;CAR_07;06.03.2025;4840.0;
payment;CP018;;CAR_07;06.03.2025;4840.0;
debit;CD010;;CAR_08;06.03.2025;-4400.0;
fact;CF012;;CAR_08;05.03.2025;9680.0;
payment;CP019;;CAR_08;05.03.2025;5280.0;
fact;CF013;;CAR_09;05.03.2025;30800.0;
fact;CF015;;CAR_07;04.04.2025;4840.0;
payment;CP025;;CAR_07;04.04.2025;4840.0;
debit;CD013;;CAR_08;04.04.2025;5280.0;
payment;CP026;;CAR_08;04.04.2025;5280.0;
payment;CP027;;CAR_05;04.04.2025;33880.0;
payment;CP028;;CAR_04;04.04.2025;41580.0;
debit;CD017;;CAR_07;06.05.2025;4840.0;
payment;CP034;;CAR_07;06.05.2025;4840.0;
fact;CF018;;CAR_08;06.05.2025;5280.0;
payment;CP035;;CAR_08;06.05.2025;5280.0;
debit;CD021;;CAR_07;05.06.2025;4840.0;
payment;CP039;;CAR_07;05.06.2025;4840.0;
fact;CF021;;CAR_08;05.06.2025;5280.0;
payment;CP040;;CAR_08;06.06.2025;5280.0;
debit;CD022;;CAR_06;06.06.2025;-44000.0;
fact;CF022;;CAR_06;04.06.2025;44000.0;
fact;CF023;;CAR_09;06.06.2025;33440.0;
payment;CP041;;CAR_09;06.06.2025;33440.0;
fact;CF025;;CAR_08;05.07.2025;5280.0;
payment;CP046;;CAR_08;06.07.2025;5280.0;
fact;CF026;;CAR_03;05.07.2025;38500.0;
payment;CP047;;CAR_03;05.07.2025;38500.0;
payment;CP048;;CAR_04;05.07.2025;41580.0;
fact;CF028;;CAR_01;05.08.2025;21560.0;
payment;CP055;;CAR_01;05.08.2025;21560.0;
fact;CF029;;CAR_10;05.08.2025;41580.0;
payment;CP056;;CAR_10;05.08.2025;41580.0;
debit;CD028;;CAR_08;05.08.2025;-2420.0;
fact;CF030;;CAR_08;05.08.2025;7700.0;
payment;CP057;;CAR_08;05.08.2025;5280.0;
fact;CF035;;CAR_08;04.09.2025;5280.0;
payment;CP063;;CAR_08;04.09.2025;5280.0;
fact;CF036;;CAR_09;04.09.2025;33880.0;
debit;CD033;;CAR_08;06.10.2025;5280.0;
payment;CP069;;CAR_08;06.10.2025;5280.0;
debit;CD034;;CAR_06;05.10.2025;-319000.0;
fact;CF038;;CAR_06;05.10.2025;319000.0;
fact;CF039;;CAR_04;06.10.2025;41580.0;
debit;CD038;;CAR_08;05.11.2025;-5280.0;
fact;CF042;;CAR_08;05.11.2025;10560.0;
payment;CP075;;CAR_08;05.11.2025;5280.0;
fact;CF043;;CAR_09;05.11.2025;33880.0;
debit;CD040;;CAR_08;06.12.2025;-10560.0;
fact;CF046;;CAR_08;06.12.2025;15840.0;
payment;CP082;;CAR_08;06.12.2025;5280.0;
debit;CD041;;CAR_06;05.12.2025;28600.0;
debit;CD042;;CAR_03;06.12.2025;-16500.0;
fact;CF047;;CAR_03;05.12.2025;16500.0;
fact;CF048;;CAR_09;05.12.2025;33880.0;
fact;CF049;;CAR_08;07.01.2025;4840.0;
payment;CP088;;CAR_08;07.01.2025;4840.0;
fact;CF050;;CAR_06;07.01.2025;22000.0;
fact;CF051;;CAR_03;07.01.2025;13640.0;
fact;CF055;;CAR_08;05.02.2025;4840.0;
payment;CP092;;CAR_08;05.02.2025;4840.0;
payment;CP093;;CAR_09;05.02.2025;30800.0;
debit;CD046;;CAR_07;06.03.2025;4840.0;
payment;CP099;;CAR_07;06.03.2025;4840.0;
debit;CD047;;CAR_01;06.03.2025;-8800.0;
fact;CF058;;CAR_01;06.03.2025;8800.0;
debit;CD048;;CAR_08;06.03.2025;-5280.0;
fact;CF059;;CAR_08;06.03.2025;10560.0;
payment;CP100;;CAR_08;06.03.2025;5280.0;
payment;CP101;;CAR_09;06.03.2025;30800.0;
debit;CD051;;CAR_07;04.04.2025;4840.0;
payment;CP106;;CAR_07;04.04.2025;4840.0;
debit;CD052;;CAR_08;04.04.2025;-2420.0;
fact;CF062;;CAR_08;04.04.2025;7700.0;
payment;CP107;;CAR_08;06.04.2025;5280.0;
fact;CF063;;CAR_02;04.04.2025;24640.0;
payment;CP108;;CAR_02;06.04.2025;24640.0;
debit;CD057;;CAR_07;06.05.2025;4840.0;
payment;CP113;;CAR_07;07.05.2025;4840.0;
debit;CD058;;CAR_01;07.05.2025;21560.0;
payment;CP114;;CAR_01;07.05.2025;21560.0;
debit;CD059;;CAR_08;07.05.2025;-5280.0;
fact;CF067;;CAR_08;07.05.2025;10560.0;
payment;CP115;;CAR_08;06.05.2025;5280.0;
debit;CD063;;CAR_07;06.06.2025;4840.0;
payment;CP121;;CAR_07;06.06.2025;4840.0;
debit;CD064;;CAR_08;06.06.2025;-1540.0;
fact;CF071;;CAR_08;06.06.2025;6820.0;
payment;CP122;;CAR_08;06.06.2025;5280.0;
fact;CF073;;CAR_08;06.07.2025;5280.0;
payment;CP127;;CAR_08;06.07.2025;5280.0;
debit;CD068;;CAR_08;05.08.2025;-2420.0;
fact;CF077;;CAR_08;05.08.2025;7700.0;
payment;CP131;;CAR_08;07.08.2025;5280.0;
debit;CD071;;CAR_08;04.09.2025;-2420.0;
fact;CF078;;CAR_08;05.09.2025;7700.0;
payment;CP136;;CAR_08;05.09.2025;5280.0;
fact;CF079;;CAR_03;05.09.2025;38500.0;
payment;CP137;;CAR_03;05.09.2025;38500.0;
payment;CP138;;CAR_04;05.09.2025;41580.0;
fact;CF081;;CAR_08;06.10.2025;5280.0;
payment;CP145;;CAR_08;06.10.2025;5280.0;
debit;CD078;;CAR_08;05.11.2025;5280.0;
payment;CP151;;CAR_08;05.11.2025;5280.0;
payment;CP152;;CAR_09;05.11.2025;33880.0;
fact;CF085;;CAR_08;06.12.2025;5280.0;
payment;CP157;;CAR_08;06.12.2025;5280.0;
debit;CD081;;CAR_03;06.12.2025;38500.0;
payment;CP158;;CAR_03;06.12.2025;38500.0;
fact;CF086;;CAR_05;06.12.2025;33880.0;
payment;CP159;;CAR_05;06.12.2025;33880.0;
fact;CF087;;CAR_04;06.12.2025;41580.0;
payment;CP160;;CAR_04;07.12.2025;41580.0;
payment;CP166;;CAR_01;07.01.2025;21560.0;
debit;CD082;;CAR_08;08.01.2025;-4840.0;
fact;CF088;;CAR_08;08.01.2025;9680.0;
payment;CP167;;CAR_08;08.01.2025;4840.0;
fact;CF089;;CAR_06;08.01.2025;8800.0;
fact;CF093;;CAR_07;07.02.2025;33880.0;
payment;CP172;;CAR_07;07.02.2025;33880.0;
debit;CD086;;CAR_01;05.02.2025;-3960.0;
fact;CF094;;CAR_01;05.02.2025;3960.0;
fact;CF095;;CAR_08;07.02.2025;4840.0;
payment;CP173;;CAR_08;05.02.2025;4840.0;
fact;CF098;;CAR_07;06.03.2025;4840.0;
payment;CP179;;CAR_07;06.03.2025;4840.0;
debit;CD088;;CAR_01;06.03.2025;-27720.0;
fact;CF099;;CAR_01;06.03.2025;27720.0;
debit;CD089;;CAR_08;06.03.2025;5280.0;
payment;CP180;;CAR_08;06.03.2025;5280.0;
fact;CF102;;CAR_07;06.04.2025;4840.0;
payment;CP186;;CAR_07;07.04.2025;4840.0;
debit;CD092;;CAR_08;07.04.2025;-2420.0;
fact;CF103;;CAR_08;07.04.2025;7700.0;
payment;CP187;;CAR_08;07.04.2025;5280.0;
debit;CD095;;CAR_07;07.05.2025;-4840.0;
fact;CF106;;CAR_07;07.05.2025;9680.0;
payment;CP191;;CAR_07;07.05.2025;4840.0;
debit;CD096;;CAR_08;07.05.2025;5280.0;
payment;CP192;;CAR_08;07.05.2025;5280.0;
debit;CD099;;CAR_07;06.06.2025;4840.0;
payment;CP198;;CAR_07;06.06.2025;4840.0;
debit;CD100;;CAR_08;06.06.2025;-2420.0;
fact;CF110;;CAR_08;06.06.2025;7700.0;
payment;CP199;;CAR_08;06.06.2025;5280.0;
fact;CF111;;CAR_03;06.06.2025;38500.0;
payment;CP200;;CAR_03;06.06.2025;38500.0;
fact;CF112;;CAR_04;06.06.2025;41580.0;
payment;CP201;;CAR_04;06.06.2025;41580.0;
debit;CD104;;CAR_08;06.07.2025;44000.0;
payment;CP208;;CAR_08;06.07.2025;44000.0;
fact;CF115;;CAR_05;06.07.2025;33880.0;
payment;CP209;;CAR_05;06.07.2025;33880.0;
fact;CF119;;CAR_07;07.08.2025;30800.0;
payment;CP213;;CAR_07;07.08.2025;30800.0;
debit;CD106;;CAR_08;07.08.2025;-7700.0;
fact;CF120;;CAR_08;07.08.2025;12980.0;
payment;CP214;;CAR_08;07.08.2025;5280.0;
debit;CD107;;CAR_03;07.08.2025;-38500.0;
fact;CF121;;CAR_03;07.08.2025;38500.0;
payment;CP215;;CAR_09;07.08.2025;33880.0;
debit;CD110;;CAR_08;08.09.2025;5280.0;
payment;CP220;;CAR_08;08.09.2025;5280.0;
fact;CF122;;CAR_04;05.09.2025;41580.0;
fact;CF124;;CAR_01;06.10.2025;21560.0;
payment;CP227;;CAR_01;06.10.2025;21560.0;
debit;CD115;;CAR_10;06.10.2025;41580.0;
payment;CP228;;CAR_10;06.10.2025;41580.0;
fact;CF125;;CAR_08;07.10.2025;5280.0;
payment;CP229;;CAR_08;06.10.2025;5280.0;
debit;CD119;;CAR_08;05.11.2025;-5280.0;
fact;CF129;;CAR_08;05.11.2025;10560.0;
payment;CP237;;CAR_08;05.11.2025;5280.0;
fact;CF130;;CAR_08;07.12.2025;5280.0;
payment;CP242;;CAR_08;07.12.2025;5280.0;
fact;CF132;;CAR_01;09.01.2025;21560.0;
fact;CF133;;CAR_08;09.01.2025;4840.0;
payment;CP248;;CAR_08;09.01.2025;4840.0;
fact;CF134;;CAR_05;09.01.2025;33880.0;
payment;CP249;;CAR_05;08.01.2025;33880.0;
fact;CF137;;CAR_08;07.02.2025;4840.0;
payment;CP255;;CAR_08;09.02.2025;4840.0;
debit;CD125;;CAR_07;09.03.2025;4840.0;
payment;CP262;;CAR_07;09.03.2025;4840.0;
debit;CD126;;CAR_01;09.03.2025;-6600.0;
fact;CF141;;CAR_01;09.03.2025;6600.0;
fact;CF142;;CAR_08;09.03.2025;5280.0;
payment;CP263;;CAR_08;09.03.2025;5280.0;
debit;CD130;;CAR_07;09.04.2025;4840.0;
payment;CP269;;CAR_07;07.04.2025;4840.0;
fact;CF144;;CAR_01;07.04.2025;21560.0;
payment;CP270;;CAR_01;07.04.2025;21560.0;
debit;CD131;;CAR_08;07.04.2025;-2420.0;
fact;CF145;;CAR_08;07.04.2025;7700.0;
payment;CP271;;CAR_08;07.04.2025;5280.0;
